word,ipa,phonetic
a," ə, eɪ ","uh, ey"
aardvark, ˈɑrdˌvɑrk ,AHRD-vahrk
aaron," ˈɛər ən, ˈær- ","AIR-uhn,AR-"
ab," ɑb, ɑv ","ahb, ahv"
aba," əˈbɑ, ˈɑ bə ","uh-BAH,AH-buh"
abac, ˈeɪbæk ,
aback, əˈbæk ,uh-BAK
abacus," ˈæb ə kəs, əˈbæk əs ","AB-uh-kuhs,uh-BAK-uhs"
abadan," ˌɑ bəˈdɑn, ˌæb ə- ","ah-buh-DAHN, ab-uh-"
abalone, ˌæb əˈloʊ ni ,ab-uh-LOH-nee
abandon, əˈbæn dən ,uh-BAN-duhn
abandoned, əˈbæn dənd ,uh-BAN-duhnd
abandonment, əˈbæn dən mənt ,uh-BAN-duhn-muhnt
abasement, əˈbeɪs mənt ,uh-BEYS-muhnt
abash, əˈbæʃ ,uh-BASH
abashed, əˈbæʃt ,uh-BASHT
abate, əˈbeɪt ,uh-BEYT
abated, əˈbeɪ tɪd ,uh-BEY-tid
abatement, əˈbeɪt mənt ,uh-BEYT-muhnt
abattoir," ˈæb əˌtwɑr, ˌæb əˈtwɑr ","AB-uh-twahr, ab-uh-TWAHR"
abaya, əˈbeɪ yə ,uh-BEY-yuh
abb, æb ,ab
abba, ˈæb ə ,AB-uh
abbado," əˈbɑ doʊ, ɑˈbɑ dɔ ","uh-BAH-doh, ah-BAH-daw"
abbas, ˈæbəs ,
abbasid," əˈbæs ɪd, ˈæb ə sɪd ","uh-BAS-id,AB-uh-sid"
abbe," æˈbeɪ, ˈæb eɪ, aˈbeɪ ","a-BEY,AB-ey,a-BEY"
abbess, ˈæb ɪs ,AB-is
abbeville," ˈæb iˌvɪl, abəˈvil ","AB-ee-vil,abuh-VEEL"
abbey, ˈæb i ,AB-ee
abbie, ˈæb i ,AB-ee
abbot, ˈæb ət ,AB-uht
abbott, ˈæb ət ,AB-uht
abboud, ɑˈbud ,ah-BOOD
abbreviate, əˈbri viˌeɪt ,uh-BREE-vee-eyt
abbreviated, əˈbri viˌeɪ tɪd ,uh-BREE-vee-ey-tid
abbreviation, əˌbri viˈeɪ ʃən ,uh-bree-vee-EY-shuhn
abby, ˈæb i ,AB-ee
abc, ˈeɪˌbiˈsi ,EY-bee-SEE
abcs, ˈeɪˌbiˈsiz ,EY-bee-SEEZ
abdicate, ˈæb dɪˌkeɪt ,AB-di-keyt
abdication, ˌæb dɪˈkeɪ ʃən ,ab-di-KEY-shuhn
abdomen," ˈæb də mən, æbˈdoʊ- ","AB-duh-muhn, ab-DOH-"
abdominal, æbˈdɒm ə nl ,ab-DOM-uh-nl
abduction, æbˈdʌk ʃən ,ab-DUHK-shuhn
abductor, æbˈdʌk tər ,ab-DUHK-ter
abdullah, æbˈdʌlə ,
abe, eɪb ,eyb
abecedarian, ˌeɪ bi siˈdɛər i ən ,ey-bee-see-DAIR-ee-uhn
abecedary, ˌeɪ biˈsi də ri ,ey-bee-SEE-duh-ree
abed, əˈbɛd ,uh-BED
abel," ˈeɪ bəl, ˈɑ bəl ","EY-buhl,AH-buhl"
abele," əˈbil, ˈeɪ bəl ","uh-BEEL,EY-buhl"
abelson, ˈeɪbəlsən ,
abercrombie," ˈæb ərˌkrɒm bi, -ˌkrʌm- ","AB-er-krom-bee, -kruhm-"
aberdeen," ˌæb ərˈdin, ˈæb ərˌdin ","ab-er-DEEN,AB-er-deen"
aberdeenshire," ˌæbəˈdiːnˌʃɪə, -ʃə ",
aberfan, ˌæbəˈvæn ,
abernathy, ˈæb ərˌnæθ i ,AB-er-nath-ee
abernethy, ˌæbəˈnɛθɪ ,
aberrant," əˈbɛr ənt, ˈæb ər- ","uh-BER-uhnt,AB-er-"
aberration, ˌæb əˈreɪ ʃən ,ab-uh-REY-shuhn
aberystwyth, ˌæbəˈrɪstwɪθ ,
abet, əˈbɛt ,uh-BET
abettor, əˈbɛt ər ,uh-BET-er
abeyance, əˈbeɪ əns ,uh-BEY-uhns
abhor, æbˈhɔr ,ab-HAWR
abhorred, æbˈhɔrd ,ab-HAWRD
abhorrence," æbˈhɔr əns, -ˈhɒr- ","ab-HAWR-uhns, -HOR-"
abhorrent," æbˈhɔr ənt, -ˈhɒr- ","ab-HAWR-uhnt, -HOR-"
abide, əˈbaɪd ,uh-BAHYD
abiding, əˈbaɪ dɪŋ ,uh-BAHY-ding
abigail, ˈæb ɪˌgeɪl ,AB-i-geyl
abilene, ˈæb əˌlin ,AB-uh-leen
ability, əˈbɪl ɪ ti ,uh-BIL-i-tee
abject," ˈæb dʒɛkt, æbˈdʒɛkt ","AB-jekt, ab-JEKT"
abjection, æbˈdʒɛk ʃən ,ab-JEK-shuhn
abjure," æbˈdʒʊər, -ˈdʒɜr ","ab-JOOR, -JUR"
abkhazia," æbˈkeɪ ʒə, -zi ə, ʌbˈxɑ zyɪ yə ","ab-KEY-zhuh, -zee-uh, uhb-KHAH-zyi-yuh"
ablate, æˈbleɪt ,a-BLEYT
ablative, ˈæb lə tɪv ,AB-luh-tiv
ablaze, əˈbleɪz ,uh-BLEYZ
able, ˈeɪ bəl ,EY-buhl
abled, ˈeɪ bəld ,EY-buhld
ableist, ˈeɪ bəl ɪst ,EY-buhl-ist
ablution, əˈblu ʃən ,uh-BLOO-shuhn
ably, ˈeɪ bli ,EY-blee
abnegation, ˌæb nɪˈgeɪ ʃən ,ab-ni-GEY-shuhn
abner, ˈæb nər ,AB-ner
abnormal, æbˈnɔr məl ,ab-NAWR-muhl
aboard," əˈbɔrd, əˈboʊrd ","uh-BAWRD,uh-BOHRD"
abode, əˈboʊd ,uh-BOHD
aboil, əˈbɔɪl ,uh-BOIL
abolish, əˈbɒl ɪʃ ,uh-BOL-ish
abolition, ˌæb əˈlɪʃ ən ,ab-uh-LISH-uhn
abolitionist, ˌæb əˈlɪʃ ə nɪst ,ab-uh-LISH-uh-nist
abominable, əˈbɒm ə nə bəl ,uh-BOM-uh-nuh-buhl
abomination, əˌbɒm əˈneɪ ʃən ,uh-bom-uh-NEY-shuhn
aboriginal, ˌæb əˈrɪdʒ ə nl ,ab-uh-RIJ-uh-nl
aborigines, ˌæb əˈrɪdʒ ə niz ,ab-uh-RIJ-uh-neez
aborning, əˈbɔr nɪŋ ,uh-BAWR-ning
abort, əˈbɔrt ,uh-BAWRT
abortion, əˈbɔr ʃən ,uh-BAWR-shuhn
abortionist, əˈbɔr ʃə nɪst ,uh-BAWR-shuh-nist
abortive, əˈbɔr tɪv ,uh-BAWR-tiv
abound, əˈbaʊnd ,uh-BOUND
about, əˈbaʊt ,uh-BOUT
above, əˈbʌv ,uh-BUHV
aboveboard," əˈbʌvˌbɔrd, -ˌboʊrd ","uh-BUHV-bawrd, -bohrd"
aboveground, əˈbʌvˌgraʊnd ,uh-BUHV-ground
abovementioned, əˈbʌvˌmɛn ʃənd ,uh-BUHV-men-shuhnd
abrade, əˈbreɪd ,uh-BREYD
abraham," ˈeɪ brəˌhæm, -həm ","EY-bruh-ham, -huhm"
abrahamic, ˌeɪ brəˈhæm ɪk ,ey-bruh-HAM-ik
abram, ˈeɪ brəm ,EY-bruhm
